Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Adj Factor,Price_Increase
1980-05-14,12.727054596,12.78680706,12.667304039,12.667304039,0.842924456,1796191.0,0.0,7,0.066543319,Down
1980-05-15,12.667304039,12.727054596,12.547801018,12.547801018,0.834972328,1780292.0,0.0,10,0.066543319,Down
1980-05-16,12.547801018,12.667304039,12.547801018,12.667304039,0.842924456,1276120.0,0.0,10,0.066543319,Up
1980-05-19,12.667304039,12.846557617,12.637428284,12.756931305,0.848888551,2090745.0,0.0,2,0.066543319,Up
1980-05-20,12.756931305,12.78680706,12.577676773,12.607552528,0.838948392,2584457.0,0.0,7,0.066543319,Down
1980-05-21,12.607552528,12.637428284,12.458173752,12.637428284,0.840936424,1360218.0,0.0,10,0.066543319,Up
1980-05-22,12.637428284,12.936184883,12.607552528,12.846557617,0.854852584,2388227.0,0.0,5,0.066543319,Up
1980-05-23,12.876434326,13.14531517,12.876434326,13.08556366,0.870756839,3353476.0,0.0,3,0.066543319,Up
1980-05-27,13.115440369,13.294693947,13.115440369,13.205066681,0.878708967,2743867.0,0.0,0,0.066543319,Up
1980-05-28,13.205066681,13.533699989,13.175190926,13.473947525,0.896601191,2643451.0,0.0,8,0.066543319,Up
1980-05-29,13.414196968,13.414196968,12.995937347,12.995937347,0.864792807,1934263.0,0.0,7,0.066543319,Down
1980-05-30,12.995937347,13.264818192,,13.23494339,0.880697062,1844307.0,0.0,10,0.066543319,Up
1980-06-02,13.23494339,13.712953568,13.205066681,13.384321213,0.890637158,2853070.0,0.0,10,0.066543319,Up
1980-06-03,13.384321213,13.653203011,13.384321213,13.473947525,,2738846.0,0.0,2,0.066543319,Up
1980-06-04,13.503824234,13.892208099,13.503824234,13.892208099,0.924433638,3790286.0,0.0,2,0.066543319,Up
1980-06-05,13.892208099,13.95195961,13.593450546,13.623327255,0.906541414,,0.0,3,0.066543319,Down
1980-06-06,13.653203011,13.832456589,13.653203011,13.653203011,0.908529446,1353106.0,0.0,9,0.066543319,Down
1980-06-09,13.653203011,13.742830276,13.533699989,13.563575745,0.90256535,1330094.0,0.0,10,0.066543319,Down
1980-06-10,13.563575745,13.802580833,13.533699989,13.742830276,0.914493541,1548080.0,0.0,0,0.066543319,Up
1980-06-11,13.742830276,13.95195961,13.683077812,13.862333298,0.922445669,2138861.0,0.0,2,0.066543319,Up
1980-06-12,13.862333298,13.95195961,13.683077812,13.862333298,0.922445669,2190742.0,0.0,3,,Down
1980-06-13,13.862333298,,13.832456589,14.071462631,0.936361829,1888239.0,0.0,10,0.066543319,Up
1980-06-16,14.071462631,14.429970741,14.041586876,14.429970741,0.960218149,3388622.0,0.0,3,0.066543319,Up
1980-06-17,14.429970741,14.429970741,14.071462631,14.071462631,0.936361829,2247226.0,0.0,8,0.066543319,Down
1980-06-18,14.071462631,14.280592918,14.071462631,14.250717163,0.948290021,2068988.0,0.0,9,0.066543319,Up
1980-06-19,14.250717163,14.280592918,13.772706032,13.832456589,0.920457574,1402477.0,0.0,9,0.066543319,Down
1980-06-20,13.832456589,13.95195961,13.802580833,13.832456589,0.920457574,1231351.0,0.0,10,0.066543319,Down
